id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Panel type;Processor series;Processor model;Number of processor cores;Cache processor [MB];Core boost frequency [GHz];Max TDP [W];Size of operational RAM [GB];Memory type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];SSD capacity [GB];Internal interface;USB-C charging;Charging connector;Colour;Weight [kg];USB 3.2 Gen 2;USB-C;Graphical output ports;Width [mm];Maximum height [mm];Depth [mm];Height [mm];Package includes;Assembly type;Basic equipment;PSU [W];PC series;Processor frequency [GHz];Processor cache [MB];CPU features;Graphics card memory [GB];Number of stream processors;Special graphics card features;Socket;Slots for additional cards;"Number of occupied slots 2.5""";"Slots in total 2.5""";"Number of occupied slots 3.5""";"Slots in total 3.5""";Number of occupied slots M.2;Slots in total M.2;Wardrobe size;Front panel location;Sidewalls;Side panel material;Memory frequency [MHz];Maximum RAM capacity [GB];Total number of slots;Number of installed slots;USB 2.0;USB 3.2 Gen 1 (USB 3.0);Other;Optical drive;Country;Extended warranty;USB 3.2 Gen 2x2;Maximum Graphic Power (TGP) [W];Basic accessories;Certification;WiFi type;GPU Passmark;CPU Passmark;Number of free slots;LHR (Lite Hash Rate);HDD RPM Rate [RPM];HDD capacity [GB];"Disk size [""]"
20;Mac mini M2 2023;16490;13628;4.6;17.0;In stock > 5 pcs at the partner's;;;;Apple Silicon;Apple M2 (8-core);8.0;;;;8.0;;Apple;M2 10-core GPU;['macOS'];['SSD'];;256.0;;;;;;;2.0;HDMI, USB-C, Thunderbolt 4;197.0;;197.0;35.8;;['Mini PC'];['Bluetooth', 'Wi-Fi'];;Apple Mac Mini;;;;;;;;;;;;;;;Micro Tower;;;;;;;;;2.0;;Without Optical Drive;;;;;;;;;;;;;;
21;RASPBERRY Pi 3 Model A +;859;710;5.0;4.0;In stock 2 pcs;;;;ARMv8;Broadcom Quad-Core BCM2837B0;4.0;;;;0.5;;;;['Without Operating System'];;;;;;;;;;;HDMI;85.0;;56.0;17.0;;['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;;1.4;;;;;;;;;;;;;;;;;;;;;;1.0;;['DSI', 'CSI'];;;;;;;;;;;;;;;
22;Alza GameBox Ryzen 5 RX6700XT bez OS;23990;19826;5.0;1.0;In stock 3 pcs;;;;AMD Ryzen 5;AMD Ryzen 5 5600;6.0;;4.4;65.0;32.0;DDR4;AMD Radeon RX;6700 XT;['Without Operating System'];['SSD'];1000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;;;HDMI 2.1, DisplayPort 1.4;210.0;;421.0;460.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];650.0;Alza GameBox;3.5;32.0;;12.0;2560.0;;AMD AM4;;;;;;1.0;2.0;Midi Tower;Top;Transparent;Tempered glass;3200.0;;4.0;2.0;4.0;4.0;['PS/2', 'Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;;;;;;;;;;;;;;
23;RADXA ROCK 4 SE 4GB;1990;1645;5.0;1.0;In stock > 5 pcs;;;;Rockchip RK;Rockchip RK3399-T;6.0;;;;4.0;LPDDR4;ARM;Mali T860MP4;['Without Operating System'];['no storage'];;;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;1.0;HDMI;54.0;;85.0;;;['Mini PC'];['Bluetooth', 'Wi-Fi'];;;1.5;;;;;;Integrated CPU;['M.2'];;;;;;1.0;;;;;3200.0;;;;2.0;2.0;;;;;;;;;;;;;;;;
24;HP ProDesk 400 G7 SFF;14490;11975;5.0;1.0;In stock;;;;Intel Core i5;Intel Core i5 10500 Comet Lake;6.0;;4.5;65.0;8.0;DDR4;Intel;UHD Graphics 630;['Windows 11 Pro'];['SSD'];256.0;256.0;;;;;;2.0;;HDMI, DisplayPort;303.0;;270.0;95.0;;['Office'];['Bluetooth', 'Opticl drive', 'Wi-Fi'];210.0;HP ProDesk;3.1;12.0;['HyperThreading', 'Virtualization Support'];;;;;;;;;;;;Desktop;;;;2666.0;64.0;2.0;1.0;4.0;3.0;;DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard'];['Windows 11 compatible'];;;;;;;;
25;PRAIM BERRY RASPBERRY Pi 3 B+;2899;2396;3.0;2.0;In stock > 5 pcs;;;;ARM;Cortex-A53;4.0;;2.3;;1.0;;Broadcom;VideoCore IV;['Without Operating System'];['no storage'];;;;;;;;;;HDMI;;;;;;['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;;0.4;2.0;['Automatic Overclocking', 'Low energy consumption'];;;;;;;;;;;;;;;;;;;;4.0;;['Headphone input'];Without Optical Drive;;;;;;;['WiFi 802.11a/b/g/n/ac'];;;;;;;
26;Intel NUC 7PJYHN;3399;2809;4.2;12.0;In stock > 5 pcs;;;;Intel Pentium;Intel Pentium Silver J5005 Gemini Lake;4.0;;2.8;10.0;;no RAM;Intel;UHD Graphics 605;['Without Operating System'];['no storage'];;;;;;;;;;HDMI;115.0;;111.0;51.0;;['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];65.0;;1.5;4.0;['Low energy consumption', 'Virtualization Support'];;;;Integrated CPU;['SATA III'];;;;;;;;;;;2400.0;;2.0;0.0;;4.0;['Kensington lock', 'LAN'];Without Optical Drive;;;;;;;['WiFi ac'];;;;;;;
27;RADXA ROCK 5 Model B 16GB;6799;5619;;;In stock 4 pcs;;;;Rockchip RK;Cortex-A55;8.0;;;;16.0;;;;;;;;;;;;;;;HDMI;;;;;;;;;;2.4;;;;;;;;;;;;;;;;;;;;;;2.0;2.0;['Audio Jack 3.5mm', 'LAN'];Without Optical Drive;;;;;;;;;;;;;;
28;Intel NUC 11 Performance Lite (NUC11PAHi50Z02);7299;6032;4.9;8.0;In stock > 5 pcs;;;;Intel Core i5;Intel Core i5 1135G7 Tiger Lake;4.0;;4.2;28.0;;no RAM;Intel;Iris Xe Graphics;['Without Operating System'];['no storage'];;;;;;;;3.0;2.0;HDMI, miniDisplayPort, USB-C;117.0;;112.0;38.0;;['Mini PC'];['Bluetooth', 'Wi-Fi'];40.0;Intel NUC;2.4;8.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;Integrated CPU;['M.2', 'SATA III'];;;;;;;Desktop;Front;Opaque;;;64.0;2.0;0.0;;;['Kensington lock', 'RJ-45 (LAN) 2.5Gbps', 'Jack', 'Thunderbolt 3'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;2755.0;10075.0;;;;;
29;RADXA ROCK 5 Model B 8GB;5449;4503;;;In stock 2 pcs;;;;Rockchip RK;Cortex-A55;8.0;;;;8.0;;;;;;;;;;;;;;;HDMI;;;;;;;;;;2.4;;;;;;;;;;;;;;;;;;;;;;2.0;2.0;['Audio Jack 3.5mm', 'LAN'];Without Optical Drive;;;;;;;;;;;;;;
30;Alza GameBox Raphael R5 RTX4060Ti without OS;27990;23132;3.7;3.0;In stock > 5 pcs;;;;AMD Ryzen 5;AMD Ryzen 5 7500F;6.0;;5.0;65.0;32.0;DDR5;NVIDIA GeForce;RTX 4060 Ti;['Without Operating System'];['SSD'];1000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;;;HDMI 2.1, DisplayPort 1.4;227.0;;446.0;464.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];650.0;Alza GameBox;3.7;32.0;;8.0;4352.0;Nvidia DLSS 3.0;AMD AM5;;;;;;1.0;2.0;Midi Tower;Top;Transparent;Tempered glass;6000.0;;4.0;2.0;4.0;2.0;['PS/2', 'RJ-45 (LAN) 2.5Gbps', 'Jack'];Without Optical Drive;;;;;;;;;;;;;;
31;HP Pro 400 G9 Black záruka 3 roky ON-SITE;12990;10736;5.0;1.0;In stock;;;;Intel Core i3;Intel Core i3 12100 Alder Lake;4.0;;4.3;89.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 10 Pro'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;3.0;1.0;VGA D-SUB, HDMI, DisplayPort;155.0;;308.0;337.0;['Mouse', 'Keyboard'];['Performance'];;;;3.3;12.0;['Virtualization Support'];;;;;['PCI', 'PCI Express x1', 'PCI Express x16', 'M.2'];;;;2.0;1.0;;Big Tower;Front;Opaque;;3200.0;64.0;2.0;1.0;2.0;3.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;1.0;;['Mouse', 'Keyboard'];['Windows 11 compatible'];;;;;;;;
32;HP 24-cr0902nc White;14990;12388;5.0;1.0;In stock;23.8;1920 × 1080 px;IPS;AMD Ryzen 5;AMD Ryzen 5 7520U;4.0;;4.3;;8.0;LPDDR5;AMD Radeon;Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI;540.5;;186.2;409.0;;['All-in-one PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];90.0;;2.8;4.0;['Automatic Overclocking'];;;;;['M.2'];;;;;;;All In One;;;;5500.0;8.0;;;2.0;2.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard', 'Webcam'];['Windows 11 compatible'];;;;;;;;
33;UMAX U-Box N51 Pro;5989;4950;5.0;1.0;In stock > 5 pcs;;;;Intel Celeron;Intel Celeron N5100 Jasper Lake;4.0;;2.8;6.0;4.0;DDR4;Intel;UHD Graphics;['Windows 11 Pro'];['SSD'];128.0;128.0;['M.2 (SATA)'];;;;;;;VGA D-SUB, DisplayPort, HDMI 2.0a;140.0;;47.0;140.0;;['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;UMAX U-Box;1.1;;;;;;;;;;;;1.0;1.0;Mini ITX;Front;Opaque;;2400.0;8.0;1.0;1.0;2.0;4.0;['LAN', 'Microphone input', 'Audio output (Line out)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;;;
34;Intel NUC 12 Enthusiast (NUC12SNKi72);17590;14537;5.0;5.0;In stock > 5 pcs;;;;Intel Core i7;Intel Core i7 12700H Alder Lake;14.0;;4.7;115.0;;DDR4;Intel;Arc A770M;['Without Operating System'];['SSD'];;;;;;;;6.0;2.0;HDMI, DisplayPort;180.0;;230.0;60.0;['Power cable'];['Mini PC'];['Memory Card Reader', 'Wi-Fi'];330.0;Intel NUC;3.5;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;;;Intel FCBGA1744;['M.2'];;;;;;3.0;;;;;;64.0;2.0;;;;['Audio Jack 3.5mm', 'RJ-45 (LAN) 2.5Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;150.0;;['Windows 11 compatible'];['WiFi 802.11a/b/h/n/ac/ax 6GHz'];;;2.0;;;;
35;Dell Vostro 3020 MT;25190;20818;4.0;1.0;In stock > 5 pcs at the partner's;;;;Intel Core i7;Intel Core i7 13700 Raptor Lake;16.0;;5.2;219.0;16.0;DDR4;Intel;UHD Graphics 770;['Windows 11 Pro'];['SSD'];512.0;512.0;['M.2 (PCIe 3.0 2x NVMe)'];;;;;;;HDMI, DisplayPort;154.0;;292.0;324.3;;['Office'];['Bluetooth', 'Wi-Fi'];180.0;Dell Vostro;2.1;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['PCI', 'PCI Express x1', 'PCI Express x16'];0.0;1.0;;;1.0;1.0;Desktop;Front;Opaque;;3200.0;64.0;2.0;1.0;4.0;4.0;['Combo Audio Jack', 'Audio output (Line out)', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
36;HP 24-cr0900nc Black;12990;10736;5.0;4.0;In stock > 5 pcs;23.8;1920 × 1080 px;IPS;;Intel Processor N100;4.0;;3.4;;8.0;DDR4;Intel;UHD Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI;540.5;;186.2;409.0;;['All-in-one PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];65.0;;1.0;6.0;['Automatic Overclocking', 'Low energy consumption', 'Virtualization Support', 'Multi Threading'];;;;;;;;;;;;All In One;;;;3200.0;;2.0;1.0;2.0;2.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard', 'Webcam'];['Windows 11 compatible'];;;;;;;;
37;HAL3000 MČR Finale Pro 4070;38990;32223;5.0;6.0;In stock > 5 pcs;;;;Intel Core i5;Intel Core i5 13400F Raptor Lake;10.0;;4.6;148.0;32.0;DDR4;NVIDIA GeForce;RTX 4070;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;1.0;1.0;HDMI, DisplayPort;230.0;;443.0;470.0;;['Gaming'];['RGB backlight'];600.0;MČR Finale;2.5;20.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];12.0;5888.0;GeForce VR-Ready;Intel LGA1700;['PCI Express x1', 'PCI Express x16'];0.0;3.0;0.0;2.0;1.0;3.0;Midi Tower;Top;Transparent;Tempered glass;3200.0;128.0;4.0;2.0;2.0;7.0;['7.1 Channel Audio(3 ports)', 'RJ-45 (LAN) 2.5Gbps', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];;;;;;;;;;;;
38;Dell OptiPlex 3000 MFF;19390;16025;4.0;1.0;In stock > 5 pcs;;;;Intel Core i5;Intel Core i5 12500T Alder Lake;6.0;;4.4;74.0;16.0;DDR4;Intel;UHD Graphics;['Windows 10 Pro'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;;;HDMI, DisplayPort;36.0;;178.0;182.0;['Mouse', 'Keyboard'];['Office'];['Bluetooth', 'Wi-Fi'];65.0;Dell Optiplex;2.0;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;;;1.0;;;1.0;1.0;Micro Tower;Front;Opaque;Steel;3200.0;64.0;2.0;1.0;2.0;4.0;['Combo Audio Jack', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Next Business Day'];;;['Mouse', 'Keyboard'];;['WiFi 802.11 a/b/g/n/ac/ax'];;17294.0;;;;;
39;HP 27-cr0003nc White;23290;19248;5.0;2.0;In stock 2 pcs;27.0;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 1335U Raptor Lake;10.0;;4.6;55.0;16.0;DDR4;Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI;612.5;;186.2;440.9;;['All-in-one PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];90.0;;1.3;12.0;['HyperThreading'];;;;;['M.2'];;;;;;;All In One;;;;3200.0;32.0;2.0;2.0;2.0;2.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Webcam'];;;;;;;;;
40;HP 27-cr0005nc Black;29790;24620;5.0;1.0;In stock 5 pcs;27.0;1920 × 1080 px;IPS;Intel Core i7;Intel Core i7 1355U Raptor Lake;10.0;;5.0;55.0;32.0;DDR4;Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI;612.5;;186.2;440.9;;['All-in-one PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];90.0;;1.7;12.0;['HyperThreading'];;;;;['M.2'];;;;;;;All In One;;;;3200.0;64.0;2.0;2.0;2.0;2.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Webcam'];;;;;;;;;
41;Umax U-Box N51 Plus;4989;4123;4.8;4.0;In stock > 5 pcs;;;;Intel Celeron;Intel Celeron N5100;4.0;;2.8;6.0;4.0;DDR4;Intel;UHD Graphics 600;['Windows 11 Pro'];['Flash'];128.0;;['M.2 (SATA)'];;;;;;;VGA D-SUB, HDMI 2.0a;140.0;;140.0;30.0;;['Mini PC'];['Bluetooth', 'Wi-Fi'];24.0;;1.1;;['Automatic Overclocking', 'Low energy consumption'];;;;;;;;;;;1.0;Mini ITX;;;;2400.0;4.0;;;;3.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;;;;;;;;;;
42;Alza GameBox Phantom i7 RTX2060;17990;14868;5.0;1.0;In stock > 5 pcs;;;;Intel Core i7;Intel Core i7 1165G7 Tiger Lake;4.0;;4.7;28.0;32.0;DDR4;NVIDIA GeForce;RTX 2060;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;8.0;4.0;HDMI 2.0, miniDisplayPort 1.4;221.0;;142.0;42.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];;;2.8;12.0;;6.0;1920.0;;Integrated CPU;;;;;;1.0;2.0;Desktop;Front;Opaque;Plastic;3200.0;;2.0;2.0;;;['RJ-45 (LAN) 2.5Gbps', 'Jack', 'Thunderbolt 4'];Without Optical Drive;;;;;;;;;;;;;;
43;Lenovo IdeaCentre 3 24ADA6 White (záruka na 3 roky po registraci);13490;11149;5.0;1.0;In stock > 5 pcs;23.8;1920 × 1080 px;IPS;AMD Ryzen 3;AMD Ryzen 3 3250U;2.0;;3.5;15.0;8.0;DDR4;AMD Radeon;Graphics;['Windows 11 Home'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;;;HDMI;541.0;;185.34;433.56;['Mouse', 'Keyboard', 'PC'];['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];65.0;Lenovo IdeaCentre;2.6;4.0;['Automatic Overclocking', 'Virtualization Support'];;;;;['M.2'];;;;;;;All In One;;;;2400.0;16.0;2.0;2.0;2.0;2.0;['LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];['Windows 11 compatible'];['WiFi 802.11ac'];;;;;;;
44;HP Slim aF0051nc Black;4990;4124;5.0;1.0;In stock;;;;AMD Ryzen 3;AMD Ryzen 3 3250U;2.0;;3.5;15.0;8.0;DDR4;AMD Radeon;Graphics;['FreeDOS'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;;;VGA D-SUB, HDMI;95.0;;303.0;270.0;;['Office'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];65.0;HP Slim;2.6;4.0;;;;;;['M.2'];;;;;;;Mini Tower;Front;Opaque;;2400.0;;1.0;1.0;2.0;4.0;['Combo Audio Jack', 'Kensington lock', 'Microphone input', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;['WiFi 802.11ac'];;;;;;;
45;Mac mini M2 2023;29490;24372;5.0;3.0;In stock > 5 pcs;;;;Apple Silicon;Apple M2 (8-core);8.0;;;;16.0;;Apple;M2 10-core GPU;['macOS'];['SSD'];512.0;512.0;;;;;;;2.0;HDMI, USB-C, Thunderbolt 4;197.0;;197.0;35.8;['Power cable'];['Mini PC'];['Bluetooth', 'Wi-Fi'];;Apple Mac Mini;;;;;;;;;;;;;;;Micro Tower;;;;;;;;;2.0;['Headphone input', 'RJ-45 (LAN)'];Without Optical Drive;;;2.0;;;;['WiFi W‑Fi 6E'];;;;;;;
46;Lenovo ThinkCentre M70q Gen 3;16590;13711;5.0;1.0;In stock > 5 pcs;;;;Intel Core i5;Intel Core i5 12400T Alder Lake;6.0;;4.2;117.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Pro'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;4.0;1.0;HDMI, DisplayPort;179.0;;182.9;36.5;;['Mini PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];90.0;Lenovo ThinkCentre;1.8;18.0;['Automatic Overclocking', 'HyperThreading'];;;;Intel LGA1700;['M.2'];;;;;;;Mini Tower;Front;Opaque;;3200.0;64.0;2.0;1.0;1.0;1.0;['Audio Jack 3.5mm', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
47;Lenovo IdeaCentre Gaming 5 17IAB7 Raven Black (záruka na 3 roky po registraci);25490;21066;4.0;1.0;In stock > 5 pcs;;;;Intel Core i5;Intel Core i5 12400F Alder Lake;6.0;;4.4;117.0;16.0;DDR4;NVIDIA GeForce;RTX 3060;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI, DisplayPort;170.0;;304.0;376.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];500.0;Lenovo IdeaCentre;2.5;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];12.0;;GeForce VR-Ready;Intel LGA1700;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Big Tower;Front;Opaque;;3200.0;32.0;2.0;2.0;4.0;1.0;['Audio Jack 3.5mm', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;;;;17022.0;19831.0;;;;;
48;HP 24-cr0904nc Black;21490;17760;4.5;2.0;In stock > 5 pcs;23.8;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 1335U Raptor Lake;12.0;;4.6;55.0;16.0;DDR4;Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI;540.5;;186.2;409.0;;['All-in-one PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];90.0;;1.3;12.0;['Automatic Overclocking'];;;;;['M.2'];;;;;;;All In One;;;;3200.0;;2.0;2.0;2.0;2.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard', 'Webcam'];['Windows 11 compatible'];;;;;;;;
49;Alza TopOffice i5 Alder;13590;11231;5.0;2.0;In stock > 5 pcs;;;;Intel Core i5;Intel Core i5 12400 Alder Lake;6.0;;4.4;117.0;32.0;DDR4;Intel;UHD Graphics 730;['Without Operating System'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;;VGA D-SUB, HDMI, DisplayPort;175.0;;410.0;358.0;;['Office'];['Bluetooth', 'Wi-Fi'];500.0;Alza TopOffice;2.5;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;Intel LGA1700;;;;;;1.0;;Midi Tower;Front;Opaque;Steel;3200.0;;2.0;2.0;4.0;2.0;;Without Optical Drive;;;;;;['Windows 11 compatible'];;;;;;;;
50;Alza BattleBox Raptor i5 RTX4070Ti;48990;40488;4.0;2.0;In stock > 5 pcs;;;;Intel Core i5;Intel Core i5 13600KF Rocket Lake;14.0;;5.1;181.0;32.0;DDR4;NVIDIA GeForce;RTX 4070 Ti;['Windows 11 Pro'];['SSD'];1000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;2.0;2.0;HDMI 2.1, DisplayPort 1.4a;232.0;;450.0;463.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];850.0;Alza Battlebox;3.5;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];12.0;7680.0;Nvidia DLSS 3.0;Intel LGA1700;;;;;;1.0;4.0;Midi Tower;Top;Transparent;Tempered glass;3600.0;;4.0;2.0;;5.0;['RJ-45 (LAN) 2.5Gbps', 'Jack', 'S/PDIF'];Without Optical Drive;;;1.0;;;;;;;;;;;
51;Victus by HP 15L Gaming TG02-1016nc Black;39990;33050;5.0;1.0;In stock 4 pcs;;;;Intel Core i7;Intel Core i7 13700F Raptor Lake;16.0;;5.2;;32.0;DDR4;NVIDIA GeForce;RTX 4060 Ti;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;2.0;1.0;VGA D-SUB, HDMI;155.0;;297.3;337.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];400.0;;2.1;30.0;;8.0;;;Intel LGA1700;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;1.0;1.0;2.0;Midi Tower;Side;Opaque;Steel;3200.0;32.0;2.0;2.0;4.0;2.0;['Combo Audio Jack', 'Kensington lock', 'Microphone input', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;1.0;;;;;;;;;;;
52;HP 24-df1777nc White;14990;12388;4.0;1.0;In stock > 5 pcs;23.8;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 1135G7 Tiger Lake;4.0;;4.2;28.0;8.0;DDR4;Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;1.0;;HDMI;540.8;;204.5;409.3;;['All-in-one PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];65.0;;;8.0;['Virtualization Support'];;;;;;;;;;;;All In One;;;;3200.0;;2.0;2.0;2.0;2.0;['Kensington lock', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard', 'Webcam'];;;;;;;;;
